Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mason Miller","SDP",3.139,2.12563,0.0520268,2.47636,59.572,0.0711478,33.7636,1.65813,3.86364,64.3259,252.964,38.9487,19.2384,17.6993,5.70747,24.5818,1.5315,2.2449,98.6256,13.799,3.4393,4.01214,0.798548,0.389881,0.0971751,0.29270557314157486,0.172235,0.987636,0.272908,0.79748,,,2.47329,1.36833,1.50034,28.690000534057617,2.59468,-0.666208,2.18003,2.59468,0.666208,2.0933,593.4000000000001,9.271875000000001,537,8.390625,,,,,,,,,,,,,,,,,,,"Mason Miller","31757",695243
"Cade Smith","CLE",4.88108,3.6612,0,2.93405,65.8056,0,31.4926,3.0836,4.8988,67.7451,271.458,51.44,24.0058,22.0853,5.52388,19.416,1.50674,3.46398,87.422,11.6141,2.57944,4.50257,0.733853,0.322046,0.0715249,0.250520758330822,0.206937,1.04592,0.295029,0.742211,,,2.62745,1.31345,1.12139,39.93000030517578,2.0313,0.393348,1.91838,2.0313,-0.393348,2.44215,571.8000000000001,8.408823529411766,537,7.897058823529412,,,,,,,,,,,,,,,,,,,"Cade Smith","27867",671922
"Grant Taylor","CHW",3.8492,4.3132,0.65365,3.43719,65.8833,2.42839,6.29281,14.3288,2.42797,79.5668,330.888,65.6906,33.0297,30.3873,6.63351,30.9985,1.60112,2.57345,94.9405,10.739,3.50632,3.06274,0.750333,0.286927,0.093683,0.1932435929775238,0.220945,1.21519,0.301709,0.72835,,,3.09832,1.20915,1.01467,494.75,5.11167,-1.43057,0.706311,5.11167,1.43057,4.05825,508.29999999999995,6.35375,483,6.0375,,,,,,,,,,,,,,,,,,,"Grant Taylor","33927",691799
"Jhoan Duran","PHI",4.95406,3.85129,0,2.88241,64.4889,0,33.0268,1.93533,4.34457,65.6282,267.617,53.224,22.8463,21.0186,4.86111,19.9468,2.34276,3.46804,75.5616,10.3622,2.73543,3.78816,0.666633,0.28235,0.0745349,0.20781491696834564,0.217951,1.11493,0.295293,0.758296,,,2.86567,1.12249,1.25732,41.58000183105469,2.89562,-0.126656,2.06685,2.89562,0.126656,2.24421,545.1000000000001,8.259090909090911,521,7.893939393939394,,,,,,,,,,,,,,,,,,,"Jhoan Duran","21029",661395
"Griffin Jax","TBR",3.5908,4.03317,0,3.09643,62.3323,0.108692,18.3635,11.6519,5.30979,63.1288,253.914,49.9699,23.608,21.7193,6.12272,17.4316,1.72007,2.33311,80.063,11.4142,2.48515,4.59299,0.87289,0.315315,0.0686515,0.2466639131307602,0.21341,1.06768,0.296338,0.744412,,,2.79873,1.10019,0.919849,151.17999267578125,2.28991,-0.925121,1.38337,2.28991,0.925121,3.15551,503.4000000000001,7.990476190476192,478,7.587301587301587,,,,,,,,,,,,,,,,,,,"Griffin Jax","20253",643377
"Edwin Díaz","LAD",4.85398,2.94026,0,3.04233,62.0575,0,36.1631,1.51054,5.15483,64.883,261.297,46.6672,23.8401,21.9329,6.58835,22.0472,0.727384,4.01808,88.5365,12.281,3.05819,4.01577,0.913879,0.338835,0.084376,0.2544589415192604,0.198388,1.05905,0.286059,0.754308,,,2.93125,1.01941,1.02886,32.849998474121094,1.72838,-0.326656,2.17342,1.72838,0.326656,2.10211,560.6999999999999,8.626153846153844,522,8.03076923076923,,,,,,,,,,,,,,,,,,,"Edwin Diaz","14710",621242
"Bryan Abreu","HOU",3.08778,2.60204,0,3.12902,64.2399,0,11.8316,20.1976,4.30578,66.8659,276.281,50.1246,25.2687,23.2472,6.63325,27.6373,0.715074,3.78999,89.5818,12.0575,3.71991,3.24134,0.89282,0.324242,0.100033,0.22420845180749893,0.204712,1.16295,0.292598,0.7666,,,3.15533,0.992208,0.976953,186.27000427246094,0.594462,0.519453,1.08067,0.594462,-0.519453,3.55911,503.69999999999993,7.517910447761193,468,6.985074626865671,,,,,,,,,,,,,,,,,,,"Bryan Abreu","16609",650556
"Aroldis Chapman","BOS",4.0189,3.28237,0,3.06207,55.9473,0,28.0737,2.43402,3.83852,55.6825,227.145,39.4409,20.5923,18.9449,5.03313,23.7719,0.725043,1.89655,76.3274,12.3368,3.84226,3.21083,0.813507,0.336029,0.104655,0.231374129652977,0.195759,1.13523,0.286453,0.758826,,,2.95161,0.941994,0.906789,64.04000091552734,1.52332,-0.619185,1.82971,1.52332,0.619185,2.56038,473.5000000000001,8.455357142857144,437,7.803571428571429,,,,,,,,,,,,,,,,,,,"Aroldis Chapman","10233",547973
"Jeremiah Estrada","SDP",3.82004,3.04268,0,3.38752,64.7571,0,3.0295,21.5229,2.23912,66.1567,271.489,50.515,27.066,24.9008,8.31388,26.1016,1.71589,2.35627,87.0519,11.8426,3.55087,3.33512,1.13103,0.320646,0.0961423,0.22450406104326248,0.207854,1.15811,0.285789,0.762584,,,3.42763,0.884878,0.770438,606.780029296875,2.47866,-0.826498,0.764355,2.47866,0.826498,3.98086,450.4000000000001,6.824242424242426,419,6.348484848484849,,,,,,,,,,,,,,,,,,,"Jeremiah Estrada","22210",669093
"Devin Williams","NYM",4.3369,4.12522,0,3.17752,62.0034,0,31.1183,3.19654,3.82885,62.9081,257.477,45.6306,24.1415,22.2102,5.49258,26.172,1.13059,3.13432,81.4707,11.6557,3.74432,3.1129,0.785801,0.316419,0.101648,0.21477117389440536,0.199984,1.14139,0.284247,0.743392,,,3.07761,0.881072,0.919849,60.290000915527344,2.48814,-1.18933,1.95189,2.48814,1.18933,2.39748,527.1,8.366666666666667,492,7.809523809523809,,,,,,,,,,,,,,,,,,,"Devin Williams","15816",642207
"Abner Uribe","MIL",3.51393,2.59972,0,3.17665,64.1375,0,17.3886,15.0814,3.34975,66.3501,276.665,51.5313,25.4555,23.419,5.03049,28.7789,1.94543,3.59714,77.3807,10.4962,3.90368,2.6888,0.682356,0.27969,0.104021,0.17566990852355957,0.210944,1.2104,0.287258,0.748691,,,3.25214,0.851741,0.991267,163,1.99271,-0.871891,1.30372,1.99271,0.871891,3.26171,491.7000000000001,7.450000000000002,465,7.045454545454546,,,,,,,,,,,,,,,,,,,"Abner Uribe","25327",682842
