Rank,Name,Team,Stuff+,Location+,Pitching+,Health%,Proj_IP,ppERA,ppK%
1,Tarik Skubal,DET,123,101,123,87%,189,2.55,30.9
2,Paul Skenes,PIT,110,111,120,91%,193,2.74,29.9
3,Garrett Crochet,BOS,117,100,114,85%,191,2.9,30.5
4,Yoshinobu Yamamoto,LAD,100,107,110,85%,178,3.22,27.6
5,Cristopher Sánchez,PHI,117,99,116,94%,196,3.09,24.8
6,Hunter Brown,HOU,105,97,103,93%,197,3.36,26.3
7,Max Fried,NYY,109,103,113,87%,179,3.32,23.4
8,Logan Gilbert,SEA,104,102,108,88%,161,3.05,27.7
9,Bryan Woo,SEA,109,105,112,87%,171,3.14,26
10,Chris Sale,ATL,116,102,113,63%,159,3.02,29.8
11,Hunter Greene,CIN,120,104,120,73%,169,3.24,30.5
12,Cole Ragans,KCR,112,101,111,78%,165,3.37,28.9
13,Jacob deGrom,TEX,108,107,117,53%,157,3.41,27.1
14,George Kirby,SEA,99,111,109,86%,171,3.21,24.2
15,Logan Webb,SFG,106,105,110,97%,201,3.25,23.6
16,Framber Valdez,HOU,106,100,110,90%,191,3.48,22.9
17,Spencer Schwellenbach,ATL,107,109,116,79%,161,3.55,24
18,Eury Pérez,MIA,115,97,108,65%,161,3.59,27.1
19,Kyle Bradish,BAL,102,104,106,57%,151,3.52,25.9
20,Joe Ryan,MIN,108,103,108,88%,170,3.62,26.6
21,Freddy Peralta,NYM,99,108,106,86%,179,3.74,26.1
22,Shohei Ohtani,LAD,114,101,116,66%,121,3.08,29.8
23,Blake Snell,LAD,104,109,114,65%,135,3.33,29.5
24,Tyler Glasnow,LAD,101,89,97,61%,129,3.39,28.2
25,Drew Rasmussen,TBR,108,103,108,72%,155,3.38,23.4
26,Chase Burns,CIN,116,103,119,72%,139,2.96,31.6
27,Dylan Cease,TOR,108,100,107,90%,181,3.55,27.6
28,Nolan McLean,NYM,108,98,109,79%,165,3.69,23.1
29,Jacob Misiorowski,MIL,116,103,119,74%,149,3.41,29
30,Emmet Sheehan,LAD,101,106,109,65%,129,3.43,29.6
31,Trey Yesavage,TOR,107,90,98,78%,152,3.39,29
32,Ryan Pepiot,TBR,106,97,103,87%,179,3.73,25.1
33,Jesús Luzardo,PHI,106,108,112,78%,161,3.48,27.1
34,Michael King,SDP,101,100,102,76%,159,3.71,25
35,Cam Schlittler,NYY,107,99,104,77%,151,3.68,24.8
36,Nathan Eovaldi,TEX,99,103,104,61%,148,3.65,23
37,Nick Pivetta,SDP,101,102,103,88%,183,3.76,26.1
38,Nick Lodolo,CIN,106,103,105,83%,171,3.79,24.3
39,Zack Wheeler,PHI,110,108,120,67%,131,3.19,29.1
40,Edward Cabrera,CHC,104,101,105,72%,141,3.61,26
41,Tatsuya Imai,HOU,,,,,148,4.4,22.5
42,Pablo López,MIN,96,110,107,71%,161,3.78,23.7
43,Kevin Gausman,TOR,102,102,102,86%,188,3.94,23.2
44,Spencer Strider,ATL,95,95,90,70%,165,3.8,27.4
45,Sonny Gray,BOS,101,99,103,83%,179,3.68,25.3
46,Gavin Williams,CLE,101,97,98,83%,165,3.86,24.1
47,Luis Castillo,SEA,98,106,102,88%,179,3.79,22.5
48,Tanner Bibee,CLE,103,98,101,96%,188,3.86,22.4
49,Brandon Woodruff,MIL,97,106,101,57%,133,3.92,24.2
50,Bubba Chandler,PIT,105,102,110,73%,137,3.92,23
51,Cade Horton,CHC,98,100,98,83%,159,3.96,22.4
52,Shane Bieber,TOR,91,106,101,55%,129,3.95,21.8
53,Carlos Rodón,NYY,107,97,102,77%,135,3.9,24.7
54,Sandy Alcantara,MIA,104,104,105,70%,185,4.05,20.6
55,Robbie Ray,SFG,100,97,96,71%,173,4.12,24.1
56,Aaron Nola,PHI,101,108,108,81%,171,4.06,23.2
57,Ranger Suárez,BOS,97,110,106,91%,174,4.06,21.4
58,Jack Flaherty,DET,102,101,103,86%,168,3.79,25.4
59,Gerrit Cole,NYY,,,,,119,3.59,25.7
60,Braxton Ashcraft,PIT,105,99,103,77%,131,3.73,22.2
61,Bryce Miller,SEA,102,97,99,81%,151,3.82,21.9
62,Grayson Rodriguez,LAA,,,,,113,3.41,26.9
63,Joey Cantillo,CLE,101,97,98,88%,143,3.88,24.2
64,Kris Bubic,KCR,96,101,100,72%,135,4.08,21.8
65,Trevor Rogers,BAL,97,103,100,84%,161,4.3,20.3
66,Matthew Boyd,CHC,99,106,101,72%,155,4.1,21.7
67,Troy Melton,DET,103,98,102,76%,133,4,22.5
68,Shane Baz,BAL,104,101,106,74%,161,4.02,23.8
69,Shota Imanaga,CHC,98,107,105,92%,149,4.34,21.5
70,Sean Manaea,NYM,110,101,106,73%,129,3.82,24.2
71,Quinn Priester,MIL,96,98,94,89%,172,3.89,20.7
72,Zebby Matthews,MIN,101,106,106,77%,131,3.84,23.7
73,David Peterson,NYM,91,102,96,88%,177,3.97,20.5
74,Jared Jones,PIT,,,,,105,3.81,24.2
75,Joe Boyle,TBR,106,87,95,74%,129,3.6,27.3
76,MacKenzie Gore,TEX,99,98,99,87%,165,3.78,26.4
77,José Soriano,LAA,103,102,106,83%,151,3.59,22.2
78,Will Warren,NYY,103,97,102,89%,169,3.88,23.1
79,Logan Henderson,MIL,102,109,107,76%,133,3.89,24.8
80,Reese Olson,DET,92,102,96,74%,128,3.91,22
81,Joe Musgrove,SDP,,,,,113,3.77,22.7
82,Shane McClanahan,TBR,,,,,109,3.92,23.2
83,Kodai Senga,NYM,93,95,92,68%,101,4.05,23
84,Ryan Weathers,NYY,104,105,108,65%,137,3.89,23.3
85,Jack Leiter,TEX,103,93,98,84%,165,4.08,23.7
86,Reid Detmers,LAA,115,110,122,,141,3.45,27.3
87,Parker Messick,CLE,99,108,107,81%,142,4.1,21.4
88,Mike Burrows,HOU,94,100,97,81%,161,4.05,23.6
