All Players   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Aaron Judge OF | NYY,523,121,172,90,32,3,47,116,104,165,11,3,.329,.446,.671,1
W ,"Shohei Ohtani U,P | LAD ",548,125,165,83,30,9,43,100,88,149,28,5,.301,.402,.624,2
W ,Bobby Witt SS | KC ,581,99,184,106,44,8,26,87,52,122,34,10,.317,.377,.554,4
Inglorious Batters,Juan Soto OF | NYM,532,115,152,87,25,3,37,98,107,124,23,4,.286,.405,.553,5
W ,Jose Ramirez 3B | CLE ,553,97,162,96,32,4,30,84,64,88,36,8,.293,.372,.528,6
Bed Stuy Fish Fry,Ronald Acuna Jr. OF | ATL ,530,102,150,98,22,3,27,62,79,149,19,4,.283,.380,.489,7
W ,Elly De La Cruz SS | CIN,545,95,150,87,31,8,24,80,58,173,41,9,.275,.347,.494,8
W ,Kyle Tucker OF | LAD,526,102,149,92,27,4,26,81,100,98,24,4,.283,.401,.498,9
21 Club 2,Julio Rodriguez OF | SEA ,580,92,166,97,32,10,27,92,43,136,26,6,.286,.345,.515,11
W ,Fernando Tatis Jr. OF | SD,567,111,164,100,31,3,30,77,67,135,27,6,.289,.371,.513,14
W ,Gunnar Henderson SS | BAL,537,92,153,93,32,5,23,73,63,138,25,5,.285,.365,.492,15
W ,Cal Raleigh C | SEA,510,93,127,59,24,0,44,106,83,152,10,2,.249,.361,.555,16
W ,Corbin Carroll OF | ARI ,548,101,145,77,28,11,29,81,63,149,28,7,.265,.345,.515,17
Behemoth,Junior Caminero 3B | TB,559,90,155,86,30,1,38,106,45,115,7,2,.277,.332,.538,18
W ,Jackson Chourio OF | MIL,589,94,161,90,38,7,26,89,34,141,20,6,.273,.314,.494,19
W ,"Jazz Chisholm 2B,3B | NYY ",496,78,124,74,17,4,29,79,56,151,34,8,.250,.333,.476,20
Jayhawks,Nick Kurtz 1B | ATH,544,106,159,81,34,4,40,105,71,183,4,1,.292,.376,.590,21
21 Club 2,Kyle Schwarber DH | PHI,519,98,128,61,21,1,45,109,89,183,7,2,.247,.365,.551,22
W ,Trea Turner SS | PHI ,604,101,184,127,32,6,19,76,40,123,33,7,.305,.353,.472,23
W ,Vladimir Guerrero Jr. 1B | TOR ,556,99,173,108,34,0,31,93,74,94,4,2,.311,.395,.540,24
W ,Francisco Lindor SS | NYM ,583,108,163,98,35,1,29,84,59,124,27,5,.280,.353,.492,25
W ,Ketel Marte 2B | ARI ,549,99,159,96,28,1,34,91,73,106,5,2,.290,.375,.530,26
Behemoth,Pete Crow-Armstrong OF | CHC,535,78,136,73,34,4,25,82,29,147,32,8,.254,.299,.473,27
W ,Yordan Alvarez DH | HOU,521,73,160,96,31,2,31,87,76,103,6,1,.307,.398,.553,28
The Ruby Ring Gang  A,Pete Alonso 1B | BAL,532,76,140,74,33,1,32,97,53,159,2,1,.263,.339,.509,29
W ,Rafael Devers 1B | SF,528,91,146,80,31,2,33,99,88,152,2,0,.277,.381,.530,30
W ,James Wood OF | WAS ,550,81,144,81,35,1,27,86,67,189,14,6,.262,.344,.476,31
W ,Manny Machado 3B | SD,578,89,168,102,36,0,30,104,46,133,12,3,.291,.344,.509,32
Flew Over the Cuckoo's Nest,Zachary Neto SS | LAA ,560,88,147,86,34,2,25,71,38,160,27,8,.263,.323,.464,33
W ,Matt Olson 1B | ATL ,547,82,151,84,40,2,25,87,71,147,1,0,.276,.363,.494,34
W ,Bryce Harper 1B | PHI,555,79,145,79,38,0,28,84,71,144,10,2,.261,.352,.481,36
The Ruby Ring Gang  A,Brice Turang 2B | MIL,554,85,153,104,28,3,18,75,53,149,20,6,.276,.340,.435,41
W ,Freddie Freeman 1B | LAD ,537,77,160,98,39,2,21,84,61,114,6,2,.298,.375,.495,42
W ,Mookie Betts SS | LAD ,571,89,157,110,27,3,17,79,59,76,9,2,.275,.344,.422,43
W ,Wyatt Langford OF | TEX ,502,80,132,78,28,3,23,73,71,149,23,6,.263,.358,.468,45
W ,William Contreras C | MIL,478,74,125,81,26,1,17,68,57,110,5,2,.262,.341,.427,48
W ,C.J. Abrams SS | WAS,512,82,136,81,30,6,19,60,33,115,28,6,.266,.326,.459,50
W ,Brent Rooker OF | ATH ,559,90,161,89,35,4,33,99,57,154,7,2,.288,.358,.542,51
W ,Cody Bellinger OF | NYY,556,83,153,97,26,4,26,91,50,95,11,2,.275,.333,.477,52
W ,Hunter Goodman C | COL ,499,72,147,87,27,4,29,97,33,133,2,1,.295,.343,.539,53
W ,Josh Naylor 1B | SEA ,485,70,143,96,26,1,20,82,45,84,19,2,.295,.358,.476,54
W ,Geraldo Perdomo SS | ARI,470,76,136,92,26,3,15,73,66,79,20,5,.289,.379,.453,55
Behemoth,Roman Anthony OF | BOS,546,87,155,99,33,5,18,71,64,160,13,3,.284,.369,.462,56
2025 Savages 2,"Ben Rice C,1B | NYY",480,73,126,68,30,3,25,72,48,115,3,2,.263,.338,.494,58
W ,Jackson Merrill OF | SD,563,83,167,93,39,10,25,97,36,138,8,3,.297,.341,.535,59
W ,Austin Riley 3B | ATL ,576,83,158,95,36,3,24,81,40,162,2,1,.274,.328,.472,60
The Ruby Ring Gang  A,Shea Langeliers C | ATH ,465,69,124,68,29,0,27,69,37,112,6,2,.267,.322,.503,61
2025 Savages 2,Byron Buxton OF | MIN,563,102,156,78,29,9,40,92,43,166,23,2,.277,.335,.574,65
Bed Stuy Fish Fry,George Springer OF | TOR ,545,108,155,91,26,3,35,87,67,130,16,2,.284,.370,.536,66
Inglorious Batters,Christian Yelich DH | MIL,547,82,143,90,22,1,30,96,57,167,14,4,.261,.336,.470,67
