Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jhoan Duran","PHI",6,3,0,2.41961,70,0,29,3,,70,285,53,21,19,4,23,,3,85,10.8968,3.00141,3.63057,0.545336,0.29738,0.0819099,0.21546965092420578,0.20426,1.08784,0.28647,0.79182,,,2.63631,2.10808,2.5865,41.58000183105469,,,,,,,580,8.285714285714286,547,7.814285714285714,,,,,,,,,,,,,,,,,,,"Jhoan Duran","21029",661395
"Mason Miller","SDP",5,3,0,2.05714,66,0,32,2,,66,259,38,16,15,6,26,,3,101,13.7537,3.60686,3.81319,0.754428,0.389421,0.102125,0.2872966229915619,0.164621,0.973256,0.261931,0.845434,,,2.50829,2.101,2.88166,28.690000534057617,,,,,,,598.8000000000002,9.072727272727276,535,8.106060606060606,,,,,,,,,,,,,,,,,,,"Mason Miller","31757",695243
"Grant Taylor","CHW",7,4,4,2.79869,79,3,5,15,,92,387,70,31,29,8,37,,4,117,11.4137,3.64962,3.12738,0.751896,0.302264,0.0966509,0.2056128904223442,0.204336,1.17012,0.284944,0.788559,,,3.0461,1.94742,2.11316,494.75,,,,,,,596.4000000000001,6.482608695652175,552,6,,,,,,,,,,,,,,,,,,,"Grant Taylor","33927",691799
"Griffin Jax","TBR",5,3,0,2.4522,68,0,12,10,,68,276,50,20,19,5,22,,3,88,11.5926,2.88417,4.01937,0.725213,0.31728,0.0789378,0.23834221065044403,0.198266,1.05304,0.280275,0.803473,,,2.70087,1.86795,2.25347,151.17999267578125,,,,,,,512.7,7.5397058823529415,476,7,,,,,,,,,,,,,,,,,,,"Griffin Jax","20253",643377
"Cade Smith","CLE",5,3,0,2.63546,70,0,30,3,,70,285,53,22,20,6,22,,3,89,11.4883,2.86083,4.01572,0.808758,0.31352,0.0780732,0.23544713109731674,0.202714,1.06978,0.282578,0.794459,,,2.83697,1.82101,2.19151,39.93000030517578,,,,,,,571.4000000000001,8.162857142857144,537,7.671428571428572,,,,,,,,,,,,,,,,,,,"Cade Smith","27867",671922
"Edwin Díaz","LAD",5,3,0,2.62258,66,0,36,3,,66,268,46,21,19,7,25,,3,91,12.3897,3.38429,3.66094,0.891336,0.339021,0.092605,0.24641645699739456,0.18975,1.06642,0.273426,0.806399,,,2.93591,1.7589,2.18843,32.849998474121094,,,,,,,572.7,8.677272727272728,529,8.015151515151516,,,,,,,,,,,,,,,,,,,"Edwin Diaz","14710",621242
"Aroldis Chapman","BOS",5,3,0,2.7003,62,0,31,2,,62,255,43,20,19,5,28,,3,88,12.7224,4.0358,3.15238,0.780719,0.343699,0.109028,0.23467062413692474,0.191259,1.13992,0.285912,0.797485,,,2.92783,1.58758,2.046,64.04000091552734,,,,,,,531.5,8.57258064516129,491,7.919354838709677,,,,,,,,,,,,,,,,,,,"Aroldis Chapman","10233",547973
"Abner Uribe","MIL",5,4,0,2.7505,72,0,19,7,,72,299,52,24,22,5,33,,4,89,11.1135,4.13546,2.68737,0.654697,0.297351,0.110648,0.18670358508825302,0.199382,1.18597,0.279845,0.786048,,,3.13864,1.48088,2.18133,163,,,,,,,526.1000000000001,7.306944444444446,485,6.736111111111111,,,,,,,,,,,,,,,,,,,"Abner Uribe","25327",682842
"Andrés Muñoz","SEA",5,3,0,2.43704,64,0,28,3,,64,261,44,19,17,5,27,,3,83,11.617,3.80459,3.05341,0.63892,0.316512,0.103659,0.21285367012023926,0.189394,1.10598,0.272625,0.804921,,,2.88818,1.4242,1.99002,41.349998474121094,,,,,,,525.7,8.2140625,483,7.546875,,,,,,,,,,,,,,,,,,,"Andres Munoz","20373",662253
"Devin Williams","NYM",5,3,0,2.71974,64,0,32,3,,64,262,45,21,19,6,27,,3,84,11.783,3.78197,3.11557,0.821821,0.319809,0.102649,0.2171604484319687,0.192778,1.11916,0.273079,0.796009,,,3.10808,1.34873,1.8885,60.290000915527344,,,,,,,532.8,8.325,492,7.6875,,,,,,,,,,,,,,,,,,,"Devin Williams","15816",642207
