Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",15,7,23,2.54652,32,32,0,0,,202,800,154,63,57,19,44,,8,247,10.968,1.96709,5.57576,0.857828,0.308524,0.0553331,0.253190778195858,0.206306,0.980121,0.280238,0.792603,,,2.7127,6.08276,6.60006,6.880000114440918,,,,,,,1198.7000000000003,5.934158415841585,1101,5.4504950495049505,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",14,8,22,2.90421,32,32,0,0,,199,806,162,70,64,20,53,,8,246,11.0889,2.39337,4.63318,0.880965,0.30493,0.0658144,0.23911578208208084,0.217302,1.07697,0.296859,0.770825,,,2.86829,5.65702,5.92081,11.949999809265137,,,,,,,1114.4,5.6000000000000005,1044,5.2462311557788945,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Paul Skenes","PIT",14,7,22,2.73761,32,32,0,0,,191,771,152,64,58,17,51,,8,230,10.8243,2.41534,4.48148,0.785268,0.2987,0.066652,0.23204751312732697,0.213998,1.06354,0.291825,0.776842,,,2.79608,5.49778,6.09531,9.819999694824219,,,,,,,1092.1000000000001,5.717801047120419,1017,5.324607329842932,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",15,8,21,3.09022,32,32,0,0,,202,830,177,76,70,18,53,,9,206,9.15507,2.33641,3.91844,0.780942,0.248105,0.0633172,0.18478776514530182,0.229635,1.1317,0.291535,0.749023,,,3.13543,5.08576,5.50789,25.649999618530273,,,,,,,1039.2,5.144554455445545,1002,4.96039603960396,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",13,9,20,3.25159,32,32,0,0,,205,846,191,81,74,17,48,,9,200,8.78043,2.10693,4.16741,0.750646,0.235732,0.0565656,0.1791662499308586,0.242085,1.16913,0.303783,0.735987,,,3.09687,4.57584,4.58811,57.95000076293945,,,,,,,1040.3000000000002,5.074634146341464,1033,5.0390243902439025,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Framber Valdez","DET",13,9,19,3.52312,31,31,0,0,,194,807,177,83,76,16,65,,9,181,8.43537,3.02406,2.78942,0.745239,0.224805,0.0805919,0.14421293139457703,0.241107,1.24919,0.300057,0.725016,,,3.48229,3.84772,3.70658,82.73999786376953,,,,,,,918.6000000000001,4.7350515463917535,902,4.649484536082475,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Max Fried","NYY",14,9,19,3.31909,31,31,0,0,,188,774,162,76,69,18,59,,8,181,8.69079,2.81298,3.08954,0.853987,0.233983,0.075734,0.1582489162683487,0.228296,1.17319,0.282638,0.740515,,,3.50888,3.84368,3.93464,49.9900016784668,,,,,,,909.5999999999999,4.838297872340425,867,4.611702127659575,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Chris Sale","ATL",12,7,18,3.01939,28,28,0,0,,162,666,130,59,54,18,47,,7,198,10.9889,2.61405,4.20377,1.0149,0.297581,0.0707892,0.22679197788238525,0.212604,1.09173,0.282742,0.776678,,,3.16154,3.82541,4.51444,38.900001525878906,,,,,,,873.3999999999999,5.391358024691357,810,5,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",14,9,21,3.14412,32,32,0,0,,197,798,162,75,69,24,45,,8,208,9.46244,2.03125,4.65843,1.1126,0.260177,0.0558508,0.204326294362545,0.218002,1.0485,0.268989,0.761841,,,3.43965,3.79701,4.17693,35.099998474121094,,,,,,,998.4000000000001,5.068020304568528,930,4.720812182741117,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Hunter Brown","HOU",12,9,19,3.35541,31,31,0,0,,182,754,154,74,68,19,61,,8,198,9.82433,3.01698,3.25635,0.93267,0.26319,0.0808238,0.18236654251813889,0.225696,1.18537,0.290297,0.74803,,,3.44139,3.79426,3.90256,36.720001220703125,,,,,,,901.6999999999999,4.954395604395604,852,4.681318681318682,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
