Rank,Name,Team,Tier,Tier Name,R/L,Stuff+,Location+,Pitching+,Health%,Proj_IP,ppERA,ppK%,Blurb
1,Tarik Skubal,DET,1,STUD,LHP,123,101,123,87%,180,2.55,30.90%,"What is there to say about this power lefty coming off two straight Cy Young seasons that everyone doesn't know by now? How about a quick discussion of his health risk, that wet blanket that hangs over all pitchers in the game today. It's true that Tarik Skubal has had some injuries in the past, and that he throws hard (only three pitchers with 100+ innings last year had faster four-seamers), and that these things often lead to more injuries. But it's also true that, at 97.6 mph on the fastball, he sits a whopping five miles per hour under his maximum (the average difference is just under three). Having a large gap like that has been shown by peer-reviewed research to be less stressful on the arm. Good news for once."
2,Paul Skenes,PIT,1,STUD,RHP,110,111,120,91%,183,2.74,29.90%,"When it comes to injury risk, Paul Skenes provides a fascinating foil to Tarik Skubal. Because while his health bill has largely been clean so far, he sits only 2 mph off of his maximum fastball velocity. But he still gets an ""A"" in the health department, as well as all the other departments. If he did lose a little bit of gas, what would happen to his four-seamer with boring shape that's already approaching league-average Stuff+? The good news this spring is that he's added three inches of ride to his fastball, enough to overcome the inevitable half-tick drop in velocity on the pitch."
3,Garrett Crochet,BOS,1,STUD,LHP,117,100,114,85%,181,2.9,30.50%,"With a top-10 fastball in the league and the best cutter thrown by a starter (both by Stuff+), Garrett Crochet has an excellent foundation. For his long-term success, though, some of his evolution last year might be just as important as the dominance of those two pitches. He diversified. Throwing more sinkers and sliders may not seem ideal for a lefty (given the platoon splits on pitches like those), but they did make him a four-pitch power dude with command. He also debuted a new changeup that gets more drop than his old one and hasn't allowed a hit yet this spring. Even his biggest fans have to admit there's a little whiff of injury risk here still, though."
4,Cristopher Sanchez,PHI,2,AGA 1,LHP,117,99,116,94%,186,3.09,24.80%,"Last spring training, Cristopher Sanchez was a top-40 ranked young starting pitcher with some upside and some downside. He had a nasty sinker, kept the ball on the ground and didn't walk guys - but he also had a below-average strikeout rate and seemed to need a cutter. After teasing us in the spring with a cutter, he broke out the old-fashioned way. He threw harder. Now 95+ on the fastball and 85+ on the slider, his stuff and strikeout numbers surged, and he looks like an ace. If the strikeout rates regress a little, he may end up being more of a high-end No. 2 starter, but that's still an excellent combo of floor and ceiling. He ended up last year ranked fifth among starters."
5,Yoshinobu Yamamoto,LAD,2,AGA 1,RHP,100,107,110,85%,169,3.22,27.60%,"A statistic like Stuff+ matters the most in the first five starts of a pitcher's career. After that, you start folding in result statistics like strikeout minus walk rate, ground-ball rate and so on. So the fact that Yoshinobu Yamamoto's Stuff+ is merely above-average for a starting pitcher is not incredibly important any more. He's demonstrated that he can put results on the field, and even managed more than 170 innings for a Dodgers team that was running a six-man rotation out there - bulk doesn't seem like a problem either. That stone-cold ace on the mound in the World Series Game 7 seems likely to put up another stunner of a season in 2026."
6,Hunter Brown,HOU,2,AGA 1,RHP,105,97,103,93%,187,3.36,26.30%,"Ever since he added a sinker, Hunter Brown has been an ace. Over the last two seasons, he's top 15 in innings and strikeouts while putting up a 2.94 ERA that would be fourth among qualified starters. A tiny orange flag popped up in the second half last year, when his strikeout rate dropped to 24 percent and his velo was down a slight bit. But his arsenal still has some remaining upside he can mine: the cutter (6 percent) and curveball (18 percent) are both well-regarded by pitching models. He could throw those more and become a little more deceptive to hitters once again."
7,Max Fried,NYY,2,AGA 1,LHP,109,103,113,87%,170,3.32,23.40%,"In terms of some advanced metrics, Max Fried looked like he was virtually the same in 2024 and 2025. That wasn't really the case. He had a completely new sinker that he threw more often last season, his slider and sweeper separated further into two better pitches, he had career-best ride on his four-seamer, his cutter gained five ticks of gas, his changeup dropped more and he threw almost everything just a little harder from a slightly lower arm angle. So yeah, he was as good as he's ever been - maybe even better, considering how diversified his arsenal is now in New York."
8,Logan Gilbert,SEA,2,AGA 1,RHP,104,102,108,88%,153,3.05,27.70%,"Forearm tightness. Around that injury, Logan Gilbert looked as good as ever under the hood, with the best strikeout rate of his career, the customary low walk rate and his ability to stifle balls in play. Now a splitter guy, his awesome extension makes it hard on hitters to put their ""A"" swing on any of his pitches, let alone the dip-diving changeup. But there was that injury, and he did look a little gassed in the playoffs. How much are you going to let that bother you? In the worst fantasy year of his career, he was still a top-30 starting pitcher overall."
9,Bryan Woo,SEA,2,AGA 1,RHP,109,105,112,87%,162,3.14,26.00%,"This health grade for Bryan Woo seems a little rosy. It probably doesn't include his college Tommy John surgery, and though some of Woo's nicks and cuts have been to his body rather than his arm, they seem relevant. Last year, he ran out of gas at the end of the season and a right pec injury kept him from starting in the playoffs. He set a career high in innings with 191, an increase of more than 50 over his previous high. While that kind of jump is not a definite precursor to injury, it certainly seems to be at least an orange flag when combined with his history. He's so, so good on the field, though, even if it's really fastball-heavy."
10,Chris Sale,ATL,4,AGA Injury Risk,LHP,116,102,113,63%,144,3.02,29.80%,"Just when the 2024 season workload made us think that Chris Sale might've found some extra longevity after his trade to Atlanta, 2025 reminded us that while he's still an ace, he's also 36 years old. This time, the culprit was a freak injury: a fractured ribcage suffered on an acrobatic defensive play. But age alone, even without Sale's own history, means this kind of thing will happen more often. He's nasty, dynamic and on a team that will hand him wins, but the number of innings Sale will put up is definitely in question. If your league doesn't have injured list slots, Sale should probably be ranked a little lower."
