Rank,Tier,Est_$Value_M,Name,Team,G,PA,HR,R,OBP,OPS,RBI,SB,aSB,wRC+,WAR,LDB_Score
1,1,70,Aaron Judge,NYY,145,637.5,49.7,105.8,0.413,1.04,119.7,7.8,5.7,181,7.44,40.843
2,1,69,Shohei Ohtani,LAD,148.3,659.5,47.6,121.3,0.387,0.994,118.8,25.4,19.2,168.9,6.39,39.715
3,1,57,Juan Soto,NYM,154,675,38.1,107,0.404,0.933,99.1,16.6,12.2,161.1,6.2,32.869
4,1,46,Ronald Acuña Jr.,ATL,143.7,629.6,29.3,101.8,0.38,0.881,82.8,26.2,19.5,144.7,4.55,26.465
5,1,46,Yordan Alvarez,HOU,129.4,552.9,33,83.3,0.387,0.952,91.4,3.5,2.6,160.4,4.65,26.408
6,1,45,Bobby Witt Jr.,KCR,151.3,659.9,31.1,104.1,0.348,0.873,96.5,36.9,29.9,135.8,6.56,26.132
7,1,44,Vladimir Guerrero Jr.,TOR,152.9,662.5,31.5,97.6,0.381,0.901,98,5.8,4.2,149.6,4.93,24.733
8,1,38,Kyle Tucker,LAD,142.8,620,28.6,95.5,0.367,0.862,86.4,17.4,12.7,138.2,4.32,21.998
9,1,38,Fernando Tatis Jr.,SDP,148.3,645.8,29.2,99.2,0.356,0.848,85.1,23.2,17.8,138.3,4.98,21.762
10,1,38,Kyle Schwarber,PHI,150,657.1,40.7,94.4,0.353,0.848,106.8,5.8,4.2,133,3.14,21.474
11,2,36,Corbin Carroll,ARI,138.2,603.3,25.5,96.6,0.346,0.834,77.2,34.1,28.6,129,4.59,21.08
12,2,34,José Ramírez,CLE,150.7,649.4,26.2,91.3,0.343,0.817,83.8,34,26.5,122.5,4.37,19.578
13,2,34,Ketel Marte,ARI,142.2,621.8,29.6,87.2,0.361,0.865,96.3,4.9,3.6,137.6,4.85,19.443
14,2,33,Bryce Harper,PHI,140.2,606.8,25.9,84.5,0.366,0.851,85.5,10.3,7.5,133,3.36,18.735
15,2,32,Brent Rooker,ATH,149.8,640.5,34.1,89.8,0.342,0.85,94.6,6.7,5,131.4,3.07,18.22
16,2,32,Julio Rodríguez,SEA,151.4,658.9,28,95.4,0.334,0.812,87.2,25.5,20.2,130.4,5.15,17.85
