Rank,Tier,Est_$Value_M,Name,Team,GS,IP,K,ERA,WHIP,HRA,approx_MGS,FIP,WAR,LDB_Score
1,1,52,Tarik Skubal,DET,29.4,188.2,228.1,2.716,0.968,18.3,1964.9,2.69,5.88,20.218
2,1,51,Paul Skenes,PIT,29.8,184.2,220.8,2.756,1.028,15.3,1960.7,2.665,5.65,19.726
3,1,42,Garrett Crochet,BOS,28.9,180.4,221.4,3.045,1.059,19.2,1892.7,2.926,5.01,16.287
4,1,34,Cristopher Sánchez,PHI,29,185,179.6,3.188,1.142,15.9,1840.6,3.142,4.5,12.966
5,1,34,Chris Sale,ATL,25.5,156.1,192.1,3.184,1.084,16.6,1654.4,3.013,3.88,12.958
6,1,32,Logan Webb,SFG,29.9,192.8,182.6,3.3,1.172,15.3,1887,3.051,4.83,12.715
7,1,30,Yoshinobu Yamamoto,LAD,26.4,160.2,174.2,3.246,1.107,15.8,1682,3.215,3.76,11.889
8,1,30,Bryan Woo,SEA,29.3,183.2,185.3,3.397,1.033,24.1,1872,3.566,3.43,11.594
9,2,29,Logan Gilbert,SEA,27.9,164.3,183.8,3.426,1.043,21.6,1774.2,3.377,3.26,11.364
10,2,29,Max Fried,NYY,28.6,179.4,170,3.319,1.167,16.4,1796.7,3.427,3.61,11.044
11,2,27,Cole Ragans,KCR,25.8,151.4,187.8,3.425,1.145,16.3,1642.8,3.209,3.69,10.793
12,2,27,Hunter Brown,HOU,29.2,178.3,193.1,3.49,1.173,19.6,1842.8,3.49,3.55,10.734
13,2,26,Jacob deGrom,TEX,25.6,154.6,174.2,3.433,1.051,21.1,1638,3.43,3.4,9.893
14,2,26,Framber Valdez,DET,28.7,186,173.2,3.49,1.219,15.8,1794.1,3.494,3.64,9.887
15,2,25,Jesús Luzardo,PHI,29.2,175.2,193.1,3.645,1.16,21.4,1834.9,3.53,3.61,9.627
16,2,23,Dylan Cease,TOR,29.3,171.2,202.4,3.711,1.213,20.8,1831.8,3.588,3.61,9.211
17,2,23,Hunter Greene,CIN,27.9,166.7,199.9,3.657,1.116,24.5,1773.4,3.777,3.5,9.176
18,2,22,George Kirby,SEA,27.8,164,160.3,3.619,1.104,19.9,1728.6,3.453,3.09,8.63
19,2,21,Zack Wheeler,PHI,20.3,126.9,146.6,3.296,1.082,14.9,1313.7,3.286,2.9,8.27
20,2,20,Joe Ryan,MIN,28,168.1,184.9,3.818,1.092,25.2,1762.2,3.721,3.16,7.77
21,3,20,Drew Rasmussen,TBR,28.2,151.3,138.3,3.62,1.148,16.9,1707.6,3.618,2.78,7.649
22,3,20,Blake Snell,LAD,22.3,130,159.8,3.447,1.199,13.8,1411.7,3.398,2.66,7.579
23,3,20,Shohei Ohtani,LAD,21.5,111.5,132.4,3.363,1.102,13.5,1335.5,3.364,2.43,7.567
24,3,20,Freddy Peralta,NYM,28.1,162.3,180.9,3.761,1.185,21.6,1746.6,3.871,2.85,7.454
25,3,18,Sonny Gray,BOS,28,166.6,176,3.808,1.18,20.6,1736.5,3.504,3.44,7.329
26,3,18,Nathan Eovaldi,TEX,24.9,152.7,148.1,3.656,1.115,18,1556.4,3.578,2.92,7.062
27,3,17,José Soriano,LAA,29.7,169.7,157.3,3.764,1.318,14.5,1785.9,3.836,2.74,6.76
28,3,17,Kyle Bradish,BAL,24.2,135.2,145.8,3.608,1.173,15.2,1496.8,3.527,2.88,6.732
29,3,17,Chase Burns,CIN,23.4,129.6,153.2,3.587,1.156,17.3,1460.5,3.523,2.87,6.541
30,3,16,Ranger Suarez,BOS,27,164.7,148.4,3.678,1.238,16.8,1656.4,3.611,3.27,6.225
31,3,16,Brandon Woodruff,MIL,25.1,144.3,153,3.739,1.118,20.5,1559.5,3.795,2.77,6.121
32,3,16,Kevin Gausman,TOR,29,177.8,174.2,3.914,1.191,23.6,1789,3.82,3.11,6.016
33,3,16,Nick Pivetta,SDP,27.7,167.5,182.7,3.917,1.148,26.1,1733.6,3.958,2.59,5.889
34,3,16,Tyler Glasnow,LAD,22.4,128.5,150.5,3.684,1.168,15.7,1401.2,3.584,2.35,5.886
35,3,16,Eury Pérez,MIA,26.7,143.5,159.6,3.906,1.157,20,1636.9,3.817,2.6,5.882
36,3,16,Michael King,SDP,27.4,155.6,162.5,3.728,1.226,20.5,1678.1,3.941,2.74,5.872
37,3,14,Spencer Strider,ATL,26.4,155.9,182.6,3.936,1.217,21,1642.1,3.756,2.53,5.747
38,3,14,Nolan McLean,NYM,25.6,151.5,149.2,3.701,1.25,16,1569.8,3.838,2.31,5.601
39,3,14,MacKenzie Gore,TEX,27.6,155.7,175.4,3.909,1.258,20.1,1693.4,3.825,2.58,5.539
40,3,13,Luis Castillo,SEA,28.4,172.1,160,3.896,1.186,23.9,1745.5,4.032,2.27,5.021
41,3,13,Ryan Pepiot,TBR,29.6,166.7,170.5,4.032,1.197,25.1,1800.1,4.223,2.06,4.824
42,3,12,Jack Flaherty,DET,27.7,156.7,172.4,4.049,1.237,21.2,1691.6,3.847,2.59,4.736
43,3,12,Trey Yesavage,TOR,24.6,136.4,152.1,3.833,1.24,16.6,1504.2,3.841,2.13,4.69
44,3,12,Emmet Sheehan,LAD,23.1,133.4,151.6,3.913,1.146,18.9,1440.5,3.786,2.26,4.581
