rank,pitcher,tier,change
1,Mason Miller,T1,+3
2,Edwin Díaz,T1,-
3,Griffin Jax,T1,+10
4,Devin Williams,T1,+8
5,Jhoan Duran,T1,-2
6,Andrés Muñoz,T1,-1
7,Cade Smith,T1,+UR
8,Aroldis Chapman,T1,-7
9,Trevor Megill,T1,+UR
10,Bryan Abreu,T1,-2
11,Jeremiah Estrada,T1,+7
12,Abner Uribe,T1,-6
13,Josh Hader,T1,+UR
14,Garrett Whitlock,T1,+3
15,David Bednar,T2,-8
16,Adrian Morejon,T2,-
17,Matt Brash,T2,+14
18,Robert Suarez,T2,-8
19,Daniel Palencia,T2,+UR
20,Ryan Helsley,T2,+63
21,Jeff Hoffman,T2,+13
22,Tanner Scott,T2,+11
23,Edwin Uceta,T2,-9
24,Pete Fairbanks,T2,-13
25,Phil Maton,T2,+2
26,Garrett Cleavinger,T2,-2
27,Dylan Lee,T2,+12
28,Gabe Speier,T2,-8
29,Alex Vesia,T2,-8
30,Luke Weaver,T2,+6
31,Raisel Iglesias,T2,-16
32,Jason Adam,T2,+UR
33,Emilio Pagán,T3,+7
34,Will Vest,T3,+17
35,Kyle Finnegan,T3,+17
36,Grant Taylor,T3,+61
37,Brad Keller,T3,-11
38,Fernando Cruz,T3,-8
39,Orion Kerkering,T3,+19
40,Louis Varland,T3,+23
41,Mason Montgomery,T3,+UR
42,Hunter Gaddis,T3,-1
43,Aaron Ashby,T3,-1
44,Matt Strahm,T3,-9
45,Bryan Baker,T3,-16
46,Tyler Rogers,T3,+2
47,Robert Garcia,T3,-4
48,Camilo Doval,T3,+36
49,Erik Sabrowski,T3,-11
50,Matt Svanson,T3,+15
51,Yimi García,T3,+UR
52,Andrew Kittredge,T3,-24
53,A.J. Minter,T3,+UR
54,Kenley Jansen,T3,+6
55,Justin Sterner,T4,+12
56,Dennis Santana,T4,+3
57,Steven Okert,T4,-13
58,Caleb Thielbar,T4,-26
59,Jose A. Ferrer,T4,-34
60,José Alvarado,T4,+UR
61,Brooks Raley,T4,+8
62,Bryan King,T4,-15
63,Seranthony Domínguez,T4,-9
64,Jordan Leasure,T4,-42
65,Drew Pomeranz,T4,+UR
66,Ryan Walker,T4,-16
67,Shawn Armstrong,T4,-48
68,Andrew Nardi,T4,+UR
69,Hunter Harvey,T4,+UR
70,Clayton Beeter,T4,+6
71,Gregory Soto,T4,+17
72,Justin Slaten,T4,+6
73,Riley O’Brien,T4,-11
74,Anthony Bender,T4,+UR
75,Eduard Bazardo,T4,+11
76,Bennett Sousa,T4,+UR
77,Chris Martin,T4,-5
78,Graham Ashcraft,T4,+7
79,Connor Phillips,T4,+UR
80,Carmen Mlodzinski,T4,+UR
81,Tony Santillan,T4,-44
82,Jared Koenig,T5,-25
83,Lucas Erceg,T5,+UR
84,Nick Mears,T5,+15
85,Elvis Alvarado,T5,+UR
86,Brendon Little,T5,-40
87,Braydon Fisher,T5,-13
88,Matt Festa,T5,-22
89,Jack Dreyer,T5,-8
90,Paul Sewald,T5,+UR
91,JoJo Romero,T5,-35
92,Calvin Faucher,T5,-13
93,Mark Leiter Jr.,T5,+UR
94,Tyler Holton,T5,-5
95,Isaac Mattson,T5,-31
96,Ryne Stanek,T5,+UR
97,Cole Sands,T5,-29
98,Rico Garcia,T5,+2
99,Jonathan Bowlan,T5,+UR
100,Kirby Yates,T5,-13
101,Blake Treinen,T5,
102,Tyler Kinley,T5,
103,Pierce Johnson,T5,
104,Aaron Bummer,T5,
105,Tanner Banks,T5,
106,Jonathan Loáisiga,T5,
107,Dietrich Enns,T5,
108,Grant Anderson,T5,
109,Jordan Romano,T5,
110,Kevin Ginkel,T5,
111,Ryan Zeferjahn,T5,
112,David Morgan,T5,
113,Hogan Harris,T5,
114,Hunter Bigge,T5,
115,Jacob Webb,T5,
116,Eric Orze,T5,
117,Tommy Nance,T6,
118,Brock Burke,T6,
119,Zack Kelly,T6,
120,Justin Lawrence,T6,
121,Carlos Estévez,T6,
122,Kade Strowd,T6,
123,Kevin Kelly,T6,
124,Jake Bird,T6,
125,Caleb Ferguson,T6,
126,John Schreiber,T6,
127,Scott Barlow,T6,
128,Enyel De Los Santos,T6,
129,Edgardo Henriquez,T6,
130,Connor Brogdon,T6,
131,Keegan Akin,T6,
132,Anthony Banda,T6,
133,Taylor Clarke,T6,
134,Jakob Junis,T6,
135,Angel Zerpa,T6,
136,Ryan Thompson,T6,
137,Eric Lauer,T6,
138,Cole Sulser,T6,
139,Brandon Eisert,T6,
140,Greg Weissert,T6,
141,Yennier Cano,T6,
142,Casey Legumina,T6,
143,Tyler Ferguson,T6,
144,Juan Mejia,T6,
145,Danny Coulombe,T6,
146,Kody Funderburk,T6,
147,Taylor Rogers,T6,
148,Will Klein,T6,
149,Cole Henry,T6,
150,Tyler Phillips,T6,
151,Gregory Santos,T6,
152,Drey Jameson,T6,
153,Victor Vodnik,T6,
154,Ben Joyce,T6,
155,Joel Peguero,T6,
156,Erik Miller,T6,
157,Jimmy Herget,T7,
158,Huascar Brazobán,T7,
159,Carlos Vargas,T7,
160,Tim Herrin,T7,
161,Robert Stephenson,T7,
162,Tyler Alexander,T7,
163,Tim Hill,T7,
164,Wandy Peralta,T7,
165,Hoby Milner,T7,
166,PJ Poulin,T7,
167,Cole Winn,T7,
168,Bradgley Rodriguez,T7,
169,Brandyn Garcia,T7,
170,Roddery Muñoz,T7,
171,Brenan Hanifee,T7,
172,Andrew Chafin,T7,
173,Matt Gage,T7,
174,Cade Gibson,T7,
175,Luis García Jr.,T7,
176,Michael Kelly,T7,
177,Griff McGarry,T7,
178,Justin Topa,T7,
179,Brant Hurter,T7,
180,Alex Lange,T7,
181,Evan Sisk,T7,
182,José Buttó,T7,
183,John King,T7,
184,Joel Payamps,T7,
185,Jovani Morán,T7,
186,Orlando Ribalta,T7,
187,Zach Agnos,T7,
188,Brent Headrick,T7,
189,Dylan Dodd,T7,
190,Lake Bachar,T7,
191,Josh Sborz,T7,
192,Paul Blackburn,T7,
193,Jordan Hicks,T7,
194,Ryan Brasier,T7,
195,Sam Bachman,T7,
196,Jackson Rutledge,T7,
197,Spencer Bivens,T7,
198,Daniel Lynch IV,T7,
199,Brent Suter,T7,
200,Rob Zastryzny,T7,
201,Brennan Bernardino,T8,
202,Grant Wolfram,T8,
203,George Soriano,T8,
204,Justin Bruihl,T8,
205,Matt Pushard,T8,
206,Ryan Yarbrough,T8,
207,Trevor McDonald,T8,
208,Kyle Backhus,T8,
209,Bryan Hudson,T8,
210,Cionel Pérez,T8,
211,Mason Fluharty,T8,
212,Hayden Harris,T8,
213,Ryan Lambert,T8,
214,Andre Granillo,T8,
215,Zach Maxwell,T8,
216,Tobias Myers,T8,
217,Tayron Guerrero,T8,
218,Jalen Beeks,T8,
219,Ryan Fernandez,T8,
220,Jose Fermin,T8,
221,Wikelman González,T8,
222,Adbert Alzolay,T8,
223,Steven Cruz,T8,
224,Seth Halvorsen,T8,
225,Craig Yoho,T8,
226,Yohan Ramírez,T8,
227,DL Hall,T8,
